price,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state,lat,long,price_category,description_len
19995,2020.0,volkswagen,other,0,gas,10501.0,clean,automatic,fwd,other,SUV,other,ca,38.0,-122.0,medium,4405
20999,2017.0,toyota,other,4,gas,106740.0,clean,automatic,4wd,other,SUV,other,wa,48.0,-122.0,medium,6586
5795,2008.0,subaru,other,4,gas,155919.0,clean,automatic,4wd,other,wagon,yellow,co,41.0,-105.0,low,1283
2000,2003.0,honda,good,4,gas,240000.0,salvage,automatic,fwd,mid-size,sedan,grey,id,44.0,-116.0,low,101
23995,2016.0,ford,excellent,6,gas,67696.0,clean,automatic,4wd,full-size,SUV,red,mn,46.0,-95.0,high,986
69888,1948.0,ford,excellent,8,gas,1.0,clean,automatic,other,other,other,red,ca,34.0,-118.0,high,687
11990,2017.0,volkswagen,excellent,4,gas,88698.0,clean,manual,fwd,mid-size,sedan,grey,ny,43.0,-74.0,medium,679
32999,2011.0,ford,good,8,diesel,177117.0,clean,automatic,4wd,full-size,truck,black,tn,36.0,-86.0,high,2231
7399,2012.0,honda,other,4,gas,131350.0,clean,automatic,fwd,other,sedan,custom,co,40.0,-105.0,low,2688
11555,2015.0,nissan,good,4,gas,117572.0,clean,automatic,fwd,other,sedan,white,ca,39.0,-121.0,medium,2992
9995,2010.0,audi,excellent,0,gas,165714.0,clean,automatic,4wd,other,other,blue,ca,35.0,-121.0,medium,1223
35590,2019.0,lexus,good,0,other,25381.0,clean,other,fwd,other,sedan,silver,oh,41.0,-82.0,high,4359
25900,1997.0,lexus,excellent,6,gas,197000.0,clean,automatic,4wd,full-size,SUV,brown,nc,36.0,-82.0,high,3062
810,2017.0,honda,excellent,6,gas,47675.0,clean,automatic,fwd,other,SUV,silver,az,35.0,-112.0,low,4556
5500,1990.0,other,good,3,gas,30000.0,clean,manual,rwd,other,other,other,ny,42.0,-74.0,low,354
3000,2005.0,rover,fair,8,gas,165206.0,clean,automatic,4wd,full-size,SUV,grey,ca,34.0,-119.0,low,505
47950,2017.0,toyota,other,0,gas,61520.0,clean,automatic,4wd,other,wagon,white,co,41.0,-103.0,high,2065
42820,2018.0,ford,like new,0,gas,58849.0,clean,automatic,4wd,other,truck,brown,ca,34.0,-117.0,high,4545
42990,2019.0,ram,other,8,gas,25291.0,clean,automatic,4wd,other,truck,blue,mi,42.0,-86.0,high,5386
13000,2016.0,honda,other,0,gas,46125.0,clean,automatic,other,other,sedan,blue,fl,29.0,-81.0,medium,4105
21999,2019.0,hyundai,other,4,gas,30139.0,clean,automatic,4wd,other,SUV,blue,ca,41.0,-122.0,medium,1048
8950,2007.0,chevrolet,good,8,gas,146816.0,clean,automatic,rwd,full-size,pickup,white,la,30.0,-90.0,low,536
39995,2017.0,gmc,other,0,gas,49307.0,clean,automatic,other,other,other,other,nj,40.0,-74.0,high,4036
7950,2007.0,mazda,other,4,gas,157884.0,clean,automatic,fwd,other,sedan,blue,nc,35.0,-79.0,low,1115
25590,2017.0,jeep,good,6,other,31315.0,clean,other,4wd,other,SUV,silver,mn,46.0,-94.0,high,4102
36990,2019.0,lincoln,good,0,gas,29315.0,clean,other,other,other,other,black,pa,40.0,-80.0,high,3969
27977,2009.0,ford,other,8,other,79522.0,clean,automatic,4wd,other,pickup,white,or,44.0,-123.0,high,1818
9999,2013.0,hyundai,other,4,gas,80435.0,clean,automatic,fwd,other,sedan,brown,nc,35.0,-81.0,medium,6360
14995,2013.0,bmw,excellent,0,gas,70110.0,clean,automatic,4wd,other,SUV,white,az,32.0,-111.0,medium,4195
26031,2015.0,ford,other,0,gas,153092.0,clean,automatic,4wd,other,other,other,ia,42.0,-94.0,high,3919
10595,2015.0,ford,good,4,gas,139619.0,clean,automatic,4wd,other,sedan,custom,pa,41.0,-80.0,medium,732
8600,1996.0,chevrolet,good,8,gas,11953.0,clean,manual,rwd,other,other,black,nv,36.0,-115.0,low,1089
25788,2019.0,honda,good,4,gas,56977.0,clean,automatic,fwd,other,sedan,black,ca,39.0,-121.0,high,3236
22481,2016.0,ford,other,0,gas,84797.0,clean,automatic,4wd,other,SUV,green,vt,43.0,-73.0,high,5011
5000,2003.0,mercedes-benz,good,8,gas,151000.0,clean,automatic,4wd,full-size,sedan,silver,tx,31.0,-98.0,low,196
25990,2013.0,toyota,good,0,other,64919.0,clean,other,other,other,pickup,white,tn,35.0,-85.0,high,4527
16990,2014.0,acura,good,0,gas,75239.0,clean,other,fwd,other,sedan,silver,ca,38.0,-122.0,medium,4057
4995,2007.0,chrysler,other,6,gas,127000.0,clean,automatic,fwd,other,sedan,silver,mo,37.0,-93.0,low,1961
25590,2012.0,gmc,good,8,other,63659.0,clean,other,other,other,other,white,tx,30.0,-98.0,high,4143
7000,2012.0,mini,like new,4,gas,113000.0,clean,automatic,fwd,compact,coupe,white,nj,40.0,-74.0,low,69
30981,2017.0,ford,other,0,gas,61000.0,clean,automatic,other,other,other,other,wa,46.0,-120.0,high,604
23590,2015.0,buick,good,6,gas,79136.0,clean,other,fwd,other,other,white,ky,37.0,-86.0,high,4182
24995,2016.0,bmw,other,0,gas,54117.0,clean,automatic,other,other,SUV,white,pa,41.0,-73.0,high,4110
8800,2001.0,toyota,excellent,8,gas,55955.0,clean,automatic,4wd,other,SUV,white,ak,60.0,-151.0,low,410
58995,2020.0,jeep,like new,4,gas,17799.0,clean,automatic,4wd,other,other,other,wa,47.0,-121.0,high,3189
13900,2017.0,cadillac,good,6,gas,106000.0,clean,automatic,fwd,other,other,black,mi,43.0,-83.0,medium,1934
1000,2005.0,volvo,good,6,gas,200000.0,clean,automatic,fwd,other,SUV,other,az,32.0,-111.0,low,263
34999,2018.0,lexus,other,0,gas,14402.0,clean,automatic,rwd,other,sedan,grey,wa,48.0,-122.0,high,4509
13995,2008.0,ford,other,0,diesel,205033.0,rebuilt,automatic,other,other,other,other,mi,43.0,-84.0,medium,1342
27990,2018.0,alfa-romeo,good,0,gas,16493.0,clean,other,other,other,hatchback,blue,ny,42.0,-80.0,high,3913
13995,2011.0,ford,excellent,6,gas,150144.0,clean,automatic,4wd,mid-size,truck,white,il,39.0,-91.0,medium,811
27998,2017.0,ford,excellent,0,gas,135426.0,clean,automatic,4wd,other,pickup,white,oh,41.0,-84.0,high,5371
14259,2019.0,chevrolet,other,0,gas,24110.0,clean,automatic,fwd,other,hatchback,other,ks,38.0,-94.0,medium,13093
14945,2013.0,buick,excellent,6,gas,124034.0,clean,automatic,fwd,full-size,SUV,black,ky,38.0,-86.0,medium,5327
43500,1968.0,chevrolet,other,0,gas,43320.0,clean,manual,other,other,other,other,sd,34.0,-97.0,high,1478
31590,2014.0,bmw,good,8,gas,47881.0,clean,automatic,other,other,sedan,blue,in,40.0,-86.0,high,5292
12950,2011.0,chevrolet,excellent,8,gas,140370.0,clean,automatic,rwd,full-size,van,white,ca,34.0,-118.0,medium,7498
33499,2018.0,audi,other,4,gas,46529.0,clean,automatic,4wd,mid-size,SUV,black,md,39.0,-77.0,high,335
7950,2007.0,mazda,other,4,gas,157884.0,clean,automatic,fwd,other,sedan,blue,nc,35.0,-79.0,low,1115
12750,2013.0,lexus,other,0,gas,109382.0,clean,other,fwd,other,sedan,silver,mi,43.0,-86.0,medium,1981
18199,2012.0,jeep,other,0,other,130174.0,clean,other,4wd,other,SUV,black,nj,40.0,-75.0,medium,1956
3990,2007.0,toyota,good,0,gas,213914.0,clean,automatic,other,mid-size,sedan,other,il,40.0,-88.0,low,498
2795,2004.0,mazda,good,6,gas,999999.0,clean,automatic,4wd,compact,SUV,blue,az,34.0,-110.0,low,782
7495,2012.0,ford,other,0,gas,104401.0,clean,automatic,fwd,other,sedan,other,oh,42.0,-82.0,low,2143
19995,2015.0,subaru,other,4,gas,76879.0,clean,automatic,4wd,other,SUV,white,wa,47.0,-120.0,medium,3610
7777,2013.0,chevrolet,excellent,6,gas,105843.0,clean,automatic,fwd,full-size,sedan,white,or,45.0,-123.0,low,1214
17998,2012.0,bmw,other,6,gas,62665.0,clean,automatic,rwd,mid-size,sedan,grey,tn,39.0,-88.0,medium,7516
17999,2016.0,buick,other,0,gas,91200.0,clean,manual,other,other,SUV,white,mn,44.0,-94.0,medium,4686
19997,2015.0,ford,other,6,gas,99326.0,clean,automatic,fwd,other,SUV,red,fl,27.0,-83.0,medium,4484
10950,2010.0,mercedes-benz,excellent,4,gas,90000.0,clean,automatic,4wd,other,sedan,silver,ia,41.0,-96.0,medium,1475
15999,2016.0,nissan,other,6,gas,161041.0,clean,automatic,other,other,pickup,silver,fl,28.0,-82.0,medium,1710
26590,2017.0,nissan,good,8,gas,47267.0,clean,other,4wd,other,pickup,white,nc,36.0,-79.0,high,4496
26495,2015.0,ford,like new,6,gas,68342.0,clean,automatic,4wd,full-size,truck,red,mt,46.0,-109.0,high,1176
8999,2002.0,chevrolet,good,8,gas,143000.0,clean,automatic,rwd,full-size,truck,white,ca,36.0,-121.0,low,25
22995,2014.0,bmw,excellent,8,gas,81085.0,clean,automatic,other,other,other,silver,nj,39.0,-88.0,high,2436
11999,2013.0,honda,other,0,gas,42708.0,clean,manual,fwd,other,hatchback,black,wa,47.0,-122.0,medium,4217
19590,2014.0,volkswagen,good,0,other,49728.0,clean,other,other,other,sedan,black,ny,41.0,-74.0,medium,4337
29999,2019.0,ford,excellent,0,gas,16000.0,rebuilt,automatic,other,other,other,other,nj,40.0,-74.0,high,493
4550,2006.0,subaru,other,0,gas,213966.0,clean,automatic,4wd,other,wagon,white,ca,39.0,-121.0,low,2230
9500,2017.0,ram,other,0,other,134000.0,salvage,automatic,4wd,other,truck,other,pa,41.0,-80.0,low,4285
29590,2018.0,audi,good,0,gas,34476.0,clean,other,other,other,SUV,white,al,32.0,-86.0,high,4115
1600,1999.0,mercedes-benz,good,0,gas,173000.0,clean,automatic,other,other,sedan,black,il,39.0,-89.0,low,132
45680,2018.0,chevrolet,like new,8,gas,34372.0,clean,automatic,4wd,other,pickup,white,ca,39.0,-122.0,high,473
10995,2012.0,ford,excellent,0,gas,137335.0,clean,automatic,4wd,other,SUV,green,ri,42.0,-70.0,medium,3913
28995,2016.0,ram,other,8,gas,121398.0,clean,automatic,4wd,other,truck,white,tn,36.0,-82.0,high,3138
12995,2017.0,volkswagen,excellent,4,gas,110971.0,clean,automatic,fwd,full-size,sedan,grey,mn,46.0,-95.0,medium,974
9950,2008.0,nissan,good,6,gas,140000.0,clean,automatic,rwd,other,coupe,white,ok,36.0,-96.0,medium,447
16590,2017.0,ford,good,0,other,37190.0,clean,automatic,fwd,other,sedan,other,in,42.0,-86.0,medium,4144
8499,2016.0,kia,other,0,gas,62680.0,clean,automatic,other,full-size,sedan,other,mi,42.0,-83.0,low,2404
53900,2016.0,ford,excellent,0,diesel,74000.0,clean,automatic,4wd,other,other,other,pa,40.0,-78.0,high,1266
3000,2006.0,jeep,like new,6,gas,132000.0,clean,automatic,4wd,other,other,brown,il,42.0,-88.0,low,451
31995,2019.0,toyota,other,6,gas,17800.0,clean,automatic,other,other,other,other,nm,35.0,-107.0,high,601
59900,2014.0,ford,other,0,diesel,156000.0,clean,automatic,other,other,other,other,sd,42.0,-88.0,high,2536
4000,1983.0,chevrolet,good,8,gas,0.0,clean,automatic,rwd,full-size,pickup,blue,mn,47.0,-93.0,low,385
1500,1994.0,ford,fair,6,gas,233659.0,clean,manual,rwd,other,pickup,white,id,44.0,-116.0,low,127
8600,2009.0,ford,other,8,gas,185356.0,clean,automatic,4wd,full-size,SUV,blue,id,48.0,-117.0,low,696
12500,2003.0,chevrolet,good,0,gas,200000.0,clean,automatic,other,other,other,other,mt,48.0,-114.0,medium,187
8800,2008.0,honda,excellent,0,gas,114563.0,clean,automatic,fwd,other,sedan,silver,ca,39.0,-121.0,low,4319
10995,2014.0,nissan,other,0,gas,185950.0,clean,automatic,other,other,other,black,id,44.0,-116.0,medium,1830
